,School Name,Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort
9,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,4 Year  June,Female,28,18,64.30%
10,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,5 Year,Female,30,19,63.30%
11,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,6 Year,Female,28,20,71.40%
12,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year  June,Female,25,20,80.00%
13,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year August,Female,25,20,80.00%
14,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,5 Year,Female,27,20,74.10%
15,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,6 Year,Female,26,20,76.90%
16,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year  June,Female,34,17,50.00%
17,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year August,Female,34,17,50.00%
18,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year  June,Female,31,18,58.10%
19,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year August,Female,31,18,58.10%
20,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year  June,Female,30,18,60.00%
21,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year August,Female,30,20,66.70%
25,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,4 Year  June,Male,27,19,70.40%
26,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,5 Year,Male,28,20,71.40%
27,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,6 Year,Male,28,21,75.00%
28,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year  June,Male,39,23,59.00%
29,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year August,Male,39,24,61.50%
30,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,5 Year,Male,39,26,66.70%
31,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,6 Year,Male,39,27,69.20%
32,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year  June,Male,44,26,59.10%
33,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year August,Male,44,27,61.40%
34,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year  June,Male,40,26,65.00%
35,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year August,Male,40,26,65.00%
36,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year  June,Male,47,23,48.90%
37,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year August,Male,47,25,53.20%
38,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,4 Year  June,Female,27,19,70.40%
39,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,5 Year,Female,27,23,85.20%
40,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,6 Year,Female,27,23,85.20%
41,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,4 Year  June,Female,29,19,65.50%
42,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,5 Year,Female,29,24,82.80%
43,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,6 Year,Female,29,24,82.80%
44,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,4 Year  June,Female,45,42,93.30%
45,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,5 Year,Female,45,42,93.30%
46,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,6 Year,Female,46,43,93.50%
47,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,4 Year  June,Female,68,49,72.10%
48,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,5 Year,Female,68,51,75.00%
49,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,6 Year,Female,68,51,75.00%
50,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,4 Year  June,Female,59,31,52.50%
51,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,4 Year August,Female,59,34,57.60%
52,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,5 Year,Female,54,38,70.40%
53,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,6 Year,Female,52,39,75.00%
54,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,4 Year  June,Female,65,34,52.30%
55,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,4 Year August,Female,65,39,60.00%
56,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,5 Year  June,Female,60,41,68.30%
57,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,5 Year August,Female,60,43,71.70%
58,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,4 Year  June,Female,62,42,67.70%
59,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,4 Year August,Female,62,46,74.20%
60,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,4 Year  June,Male,37,27,73.00%
61,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,5 Year,Male,37,31,83.80%
62,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,6 Year,Male,37,31,83.80%
63,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,4 Year  June,Male,23,14,60.90%
64,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,5 Year,Male,23,21,91.30%
65,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,6 Year,Male,23,21,91.30%
66,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,4 Year  June,Male,42,25,59.50%
67,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,5 Year,Male,42,30,71.40%
68,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,6 Year,Male,43,30,69.80%
69,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,4 Year  June,Male,44,26,59.10%
70,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,5 Year,Male,44,32,72.70%
71,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,6 Year,Male,41,33,80.50%
72,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,4 Year  June,Male,62,33,53.20%
73,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,4 Year August,Male,62,36,58.10%
74,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,5 Year,Male,62,43,69.40%
75,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,6 Year,Male,60,44,73.30%
76,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,4 Year  June,Male,59,19,32.20%
77,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,4 Year August,Male,59,21,35.60%
78,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,5 Year  June,Male,56,31,55.40%
79,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,5 Year August,Male,56,34,60.70%
80,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,4 Year  June,Male,88,57,64.80%
81,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,4 Year August,Male,88,60,68.20%
82,EAST SIDE COMMUNITY SCHOOL,2001,4 Year  June,Female,33,21,63.60%
83,EAST SIDE COMMUNITY SCHOOL,2001,5 Year,Female,33,21,63.60%
84,EAST SIDE COMMUNITY SCHOOL,2001,6 Year,Female,33,21,63.60%
85,EAST SIDE COMMUNITY SCHOOL,2002,4 Year  June,Female,33,22,66.70%
86,EAST SIDE COMMUNITY SCHOOL,2002,5 Year,Female,33,26,78.80%
87,EAST SIDE COMMUNITY SCHOOL,2002,6 Year,Female,33,26,78.80%
88,EAST SIDE COMMUNITY SCHOOL,2003,4 Year  June,Female,34,24,70.60%
